gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,37,Yes,No,Two year,Yes,Electronic check,31.62,1239.3,0
Female,0,No,No,33,No,DSL,Month-to-month,No,Electronic check,49.81,1709.02,0
Female,0,No,No,6,Yes,Fiber optic,Two year,No,Electronic check,72.17,490.68,0
Male,0,No,Yes,9,Yes,DSL,Two year,Yes,Credit card,64.02,544.74,0
Male,0,Yes,No,43,Yes,DSL,One year,Yes,Mailed check,48.74,2046.48,0
Female,0,Yes,Yes,41,Yes,Fiber optic,Month-to-month,Yes,Electronic check,62.45,2598.49,1
Male,1,Yes,No,40,Yes,DSL,Two year,Yes,Electronic check,59.63,2454.04,0
Female,0,No,Yes,12,Yes,Fiber optic,One year,Yes,Credit card,60.94,789.42,1
Male,0,Yes,Yes,37,Yes,Fiber optic,Month-to-month,No,Mailed check,68.32,2528.49,0
Male,0,Yes,No,5,Yes,DSL,Two year,Yes,Mailed check,45.21,262.44,0
Female,0,Yes,Yes,11,Yes,Fiber optic,One year,Yes,Electronic check,64.39,745.56,0
Female,0,No,Yes,36,No,Fiber optic,Two year,No,Electronic check,68.0,2455.45,0
Female,0,No,No,45,Yes,No,One year,No,Credit card,32.2,1458.62,0
Female,1,No,Yes,48,Yes,DSL,Month-to-month,Yes,Bank transfer,63.85,3069.71,0
Female,0,No,No,71,Yes,No,Two year,Yes,Mailed check,32.41,2261.71,0
Female,0,Yes,No,62,No,No,One year,Yes,Credit card,27.69,1682.48,0
Female,0,Yes,Yes,28,Yes,Fiber optic,Month-to-month,No,Mailed check,67.94,1867.25,0
Male,1,Yes,No,57,Yes,Fiber optic,Month-to-month,Yes,Credit card,56.14,3120.02,0
Female,0,No,Yes,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,72.94,517.72,1
Male,0,No,No,62,Yes,Fiber optic,One year,Yes,Electronic check,51.77,3207.71,0
Female,1,Yes,Yes,28,No,DSL,Month-to-month,No,Credit card,39.61,1147.18,1
Male,0,Yes,Yes,55,No,No,Two year,Yes,Credit card,23.71,1367.09,0
Male,1,Yes,Yes,70,Yes,No,Two year,No,Bank transfer,32.12,2314.61,0
Female,0,No,No,51,Yes,Fiber optic,One year,Yes,Bank transfer,66.39,3456.81,0
Female,0,Yes,No,67,Yes,Fiber optic,Month-to-month,Yes,Credit card,82.28,5474.91,0
Female,0,No,No,1,Yes,Fiber optic,One year,Yes,Bank transfer,73.7,2.1,1
Male,1,Yes,No,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.0,995.54,0
Female,0,No,No,46,Yes,No,Two year,Yes,Mailed check,36.09,1729.25,0
Female,0,No,No,39,Yes,DSL,Month-to-month,Yes,Bank transfer,62.52,2516.08,0
Male,0,Yes,No,9,Yes,DSL,Two year,Yes,Bank transfer,54.1,511.15,0
Male,0,No,No,52,Yes,DSL,Month-to-month,Yes,Credit card,43.8,2177.76,0
Male,0,No,No,5,Yes,No,Month-to-month,Yes,Mailed check,20.6,121.28,1
Male,0,No,No,72,Yes,Fiber optic,Two year,Yes,Electronic check,58.43,4234.73,0
Female,1,No,No,12,Yes,No,Month-to-month,Yes,Electronic check,29.66,418.52,1
Female,0,Yes,Yes,33,Yes,Fiber optic,Two year,Yes,Credit card,61.6,2104.28,0
