customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,37,Yes,No,Two year,Yes,Electronic check,31.62,1239.3,0
CUST-00001,Female,0,No,No,33,No,DSL,Month-to-month,No,Electronic check,49.81,1709.02,0
CUST-00002,Female,0,No,No,6,Yes,Fiber optic,Two year,No,Electronic check,72.17,490.68,0
CUST-00003,Male,0,No,Yes,9,Yes,DSL,Two year,Yes,Credit card,64.02,544.74,0
CUST-00004,Male,0,Yes,No,43,Yes,DSL,One year,Yes,Mailed check,48.74,2046.48,0
CUST-00005,Female,0,Yes,Yes,41,Yes,Fiber optic,Month-to-month,Yes,Electronic check,62.45,2598.49,1
CUST-00006,Male,1,Yes,No,40,Yes,DSL,Two year,Yes,Electronic check,59.63,2454.04,0
CUST-00007,Female,0,No,Yes,12,Yes,Fiber optic,One year,Yes,Credit card,60.94,789.42,1
CUST-00008,Male,0,Yes,Yes,37,Yes,Fiber optic,Month-to-month,No,Mailed check,68.32,2528.49,0
CUST-00009,Male,0,Yes,No,5,Yes,DSL,Two year,Yes,Mailed check,45.21,262.44,0
CUST-00010,Female,0,Yes,Yes,11,Yes,Fiber optic,One year,Yes,Electronic check,64.39,745.56,0
CUST-00011,Female,0,No,Yes,36,No,Fiber optic,Two year,No,Electronic check,68.0,2455.45,0
CUST-00012,Female,0,No,No,45,Yes,No,One year,No,Credit card,32.2,1458.62,0
CUST-00013,Female,1,No,Yes,48,Yes,DSL,Month-to-month,Yes,Bank transfer,63.85,3069.71,0
CUST-00014,Female,0,No,No,71,Yes,No,Two year,Yes,Mailed check,32.41,2261.71,0
CUST-00015,Female,0,Yes,No,62,No,No,One year,Yes,Credit card,27.69,1682.48,0
CUST-00016,Female,0,Yes,Yes,28,Yes,Fiber optic,Month-to-month,No,Mailed check,67.94,1867.25,0
CUST-00017,Male,1,Yes,No,57,Yes,Fiber optic,Month-to-month,Yes,Credit card,56.14,3120.02,0
CUST-00018,Female,0,No,Yes,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,72.94,517.72,1
CUST-00019,Male,0,No,No,62,Yes,Fiber optic,One year,Yes,Electronic check,51.77,3207.71,0
CUST-00020,Female,1,Yes,Yes,28,No,DSL,Month-to-month,No,Credit card,39.61,1147.18,1
CUST-00021,Male,0,Yes,Yes,55,No,No,Two year,Yes,Credit card,23.71,1367.09,0
CUST-00022,Male,1,Yes,Yes,70,Yes,No,Two year,No,Bank transfer,32.12,2314.61,0
CUST-00023,Female,0,No,No,51,Yes,Fiber optic,One year,Yes,Bank transfer,66.39,3456.81,0
CUST-00024,Female,0,Yes,No,67,Yes,Fiber optic,Month-to-month,Yes,Credit card,82.28,5474.91,0
CUST-00025,Female,0,No,No,1,Yes,Fiber optic,One year,Yes,Bank transfer,73.7,2.1,1
CUST-00026,Male,1,Yes,No,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.0,995.54,0
CUST-00027,Female,0,No,No,46,Yes,No,Two year,Yes,Mailed check,36.09,1729.25,0
CUST-00028,Female,0,No,No,39,Yes,DSL,Month-to-month,Yes,Bank transfer,62.52,2516.08,0
CUST-00029,Male,0,Yes,No,9,Yes,DSL,Two year,Yes,Bank transfer,54.1,511.15,0
CUST-00030,Male,0,No,No,52,Yes,DSL,Month-to-month,Yes,Credit card,43.8,2177.76,0
CUST-00031,Male,0,No,No,5,Yes,No,Month-to-month,Yes,Mailed check,20.6,121.28,1
CUST-00032,Male,0,No,No,72,Yes,Fiber optic,Two year,Yes,Electronic check,58.43,4234.73,0
CUST-00033,Female,1,No,No,12,Yes,No,Month-to-month,Yes,Electronic check,29.66,418.52,1
CUST-00034,Female,0,Yes,Yes,33,Yes,Fiber optic,Two year,Yes,Credit card,61.6,2104.28,0
CUST-00035,Male,0,Yes,No,60,Yes,DSL,Two year,No,Electronic check,47.37,2887.68,0
CUST-00036,Female,0,No,Yes,38,Yes,No,Month-to-month,No,Credit card,27.08,999.68,0
CUST-00037,Female,0,Yes,No,54,Yes,Fiber optic,Month-to-month,No,Electronic check,54.13,2871.56,0
CUST-00038,Male,0,Yes,No,51,Yes,DSL,One year,Yes,Mailed check,39.89,2061.09,0
CUST-00039,Female,0,Yes,No,69,No,DSL,Two year,No,Credit card,45.95,3130.93,0
CUST-00040,Male,0,Yes,No,34,Yes,DSL,Two year,No,Mailed check,49.58,1759.48,1
CUST-00041,Female,0,Yes,No,71,Yes,DSL,Month-to-month,Yes,Credit card,46.05,3184.32,0
CUST-00042,Female,0,Yes,Yes,38,Yes,DSL,One year,Yes,Electronic check,47.84,1846.26,1
CUST-00043,Male,0,No,No,65,Yes,Fiber optic,Month-to-month,No,Mailed check,64.35,4198.73,1
CUST-00044,Male,0,No,No,53,No,DSL,One year,No,Bank transfer,38.4,2024.86,0
